lat,long,Id,LotArea,balcony,loggia,veranda,kitchen,numberOfFloors,floor,numberOfRooms,numberOfBedrooms,ceilingHeight,numberOfBathrooms,SalePrice
41.7344004,44.76685699999999,271522,90,2,0,0,0,9,9,3,2,0,1,83000
41.7235781,44.77235,271519,38,0,0,0,0,8,2,2,0,0,1,56000
41.7155464,44.7739302,271515,106,0,0,0,0,14,9,4,3,0,1,131000
41.7216781,44.7803016,271514,110,2,0,0,0,11,4,3,2,0,1,125000
41.7161893,44.7708443,271512,60,0,0,0,0,11,5,2,1,0,1,83000
41.7109105,44.758644,271511,50,0,0,0,0,24,22,2,1,0,1,105000
41.75264749999999,44.7898538,271509,78,0,0,0,0,8,3,4,2,2,1,62000
41.7131432,44.7143903,271504,80,2,0,0,0,13,10,3,2,0,1,107000
41.7113256,44.7960092,271503,60,0,0,0,0,5,1,3,0,0,2,60000
41.7213088,44.7633598,271501,85,0,0,0,0,14,2,3,1,0,1,90000
41.7236,44.7436801,271500,124,0,0,0,0,21,5,3,2,0,2,135000
41.6725352,44.8648757,271496,51,0,0,0,0,9,8,3,1,0,1,50000
41.7211149,44.7281969,271493,45,0,0,0,0,17,17,2,1,0,1,69000
41.744212,44.7190421,271487,80,0,0,0,0,6,2,3,2,0,1,89500
41.7150193,44.7640541,271486,93,0,0,0,0,14,7,2,1,0,2,85000
41.7131432,44.7143903,271473,96,0,0,0,0,12,7,3,2,0,1,81600
41.7207921,44.7086281,271468,46,0,0,0,0,6,4,2,1,0,1,55000
41.6864675,44.8164806,271467,52,0,0,0,0,3,2,1,1,0,1,55000
41.6910527,44.8371632,271460,112,0,0,0,0,8,1,3,2,0,2,93000
41.698336,44.7914033,271458,88,0,0,0,0,1,1,3,2,0,1,93000
41.7389264,44.7192401,271457,130,0,0,0,0,5,3,5,3,3,2,75000
41.7363448,44.7243015,271454,72,0,0,0,0,9,5,2,1,2,2,60000
41.739214,44.7807026,271448,69,0,0,0,0,15,10,3,2,3,1,93000
41.6721054,44.9153347,271443,72,0,0,0,0,5,1,3,2,0,1,55000
41.69369329999999,44.8613801,271439,55,0,0,0,0,9,3,2,1,0,1,38500
41.7800889,44.7826408,271432,54,0,0,0,0,5,2,3,2,0,1,49000
41.7197941,44.7394075,271427,83,3,0,0,0,6,5,3,2,0,1,98000
41.7233563,44.772588,271422,61,0,0,0,0,5,2,2,1,0,1,71000
41.6925435,44.7994318,271403,45,0,0,0,0,4,2,2,1,0,1,93000
41.7212878,44.7298345,271399,92,0,0,0,0,24,15,4,3,0,2,119600
41.7274332,44.737804,271392,65,0,0,0,0,10,7,3,2,0,1,82000
41.72445279999999,44.7448629,271375,67,0,0,0,0,8,2,2,1,0,1,93000
41.6870482,44.8797085,271366,49,0,0,0,0,9,9,2,1,0,1,33500
41.713806,44.7576208,271365,43,0,0,0,0,12,11,2,1,0,1,67000
41.7131432,44.7143903,271363,58,0,0,0,0,15,4,2,1,0,1,80000
41.7212878,44.7298345,271362,70,0,0,0,0,6,5,4,3,0,1,60000
41.7445218,44.7932593,271360,116,0,0,0,0,13,9,3,2,3,2,85000
41.7908848,44.7648869,271355,74,0,0,0,0,17,10,3,2,0,1,71000
41.7761338,44.7552884,271353,63,0,0,0,0,11,7,2,1,0,1,46000
41.729886,44.78432369999999,271351,45,0,0,0,0,5,4,2,1,0,1,25000
41.690089457226385,44.920544759710694,271335,160,0,0,0,0,2,0,7,2,3,1,35000
41.7306636,44.7635872,271329,130,0,0,0,0,9,5,4,3,0,2,145000
41.78908648379152,44.745017551806654,271328,76,0,0,0,0,9,6,3,2,2,1,56000
41.6933398,44.8227595,271323,80,0,0,0,0,6,5,3,2,0,1,115000
41.7354662,44.7698799,271308,100,0,0,0,0,8,3,3,2,0,1,119000
41.7100817,44.7310039,271306,116,0,0,0,0,15,9,4,3,0,1,98000
41.6839477,44.840231,271301,107,0,0,0,0,7,5,4,2,0,1,105000
41.7317242,44.741659,271296,57,0,0,0,0,9,4,2,1,0,1,68000
41.6787718,44.8418795,271294,40,0,0,0,0,3,2,2,2,2,1,30000
41.71720759999999,44.7825989,271284,94,0,0,0,0,20,6,3,2,0,1,141300
41.703706,44.77245610000001,271279,100,0,0,0,0,2,2,4,2,0,1,105000
41.71963880000001,44.746084,271270,56,0,0,0,0,28,15,2,1,0,1,97000
41.7109105,44.758644,271268,65,0,0,0,0,11,9,3,2,0,1,149000
41.7943848,44.8213708,271252,94,0,0,0,0,9,1,4,3,2,1,69000
41.7963786,44.828257,271250,61,0,0,0,0,15,2,3,2,3,1,55000
41.7274332,44.737804,271223,95,0,0,0,0,8,6,4,2,0,1,98000
41.7249769,44.7537828,271220,88,0,0,0,0,5,5,3,2,2,1,98000
41.7267829,44.77139529999999,271156,120,0,0,0,0,5,1,11,0,0,1,138000
41.699522588321976,44.87770199775696,271144,150,0,0,0,0,9,1,10,0,0,0,99000
41.7049736,44.8071626,271134,100,0,0,0,0,2,0,6,3,0,1,65000
41.735195,44.76838590000001,271133,157,0,0,0,0,2,0,7,4,0,2,80000
41.7837884,44.7662979,271098,57,0,0,0,0,13,8,3,2,0,1,34000
41.68644855933029,44.950243672645335,271044,60,0,0,0,0,5,5,2,1,0,1,33000
41.7425199,44.7872314,271033,90,0,0,0,0,4,1,4,1,3,1,80000
41.703706,44.77245610000001,271016,74,0,0,0,0,8,2,3,2,0,1,92000
41.7131432,44.7143903,271013,53,0,0,0,0,12,6,2,1,0,1,66000
41.7131432,44.7143903,271002,60,0,0,0,0,9,6,2,1,0,1,100000
41.7207921,44.7086281,270991,52,0,0,0,0,19,10,2,1,0,1,68000
41.7247154,44.7110469,270980,117,0,0,0,0,16,6,3,2,0,2,90000
41.7161893,44.7708443,270978,120,0,0,0,0,16,3,4,2,0,2,92000
41.751530900466,44.7319865,270968,115,3,0,0,0,5,1,5,3,0,1,84000
41.7317012,44.7477758,270961,69,0,0,0,0,12,4,2,1,0,1,65000
41.7306263,44.7631878,270960,91,0,0,0,0,4,2,4,3,0,2,108000
41.7317012,44.7477758,270959,74,0,0,0,0,12,8,3,2,0,1,72000
41.7317012,44.7477758,270957,65,0,0,0,0,12,8,3,2,0,1,67000
41.7150937,44.7700026,270955,63,0,0,0,0,11,6,2,1,0,1,76000
41.7274332,44.737804,270948,63,0,0,0,0,8,2,2,1,0,1,51000
41.6890629,44.8205481,270943,75,0,0,0,0,9,7,3,2,0,2,129000
41.6862697,44.8291352,270942,80,0,0,0,0,18,8,2,1,0,1,115000
41.723634,44.7631864,270939,116,0,0,0,0,16,5,3,2,0,2,133000
41.6835825,44.8228496,270938,149,0,0,0,0,10,2,3,2,0,2,139000
41.6835825,44.8228496,270936,117,0,0,0,0,10,2,3,2,0,2,112000
41.7236,44.7436801,270935,81,0,0,0,0,17,14,3,2,0,1,85500
41.7207921,44.7086281,270929,68,0,0,0,0,13,13,3,1,0,1,81000
41.7258401,44.7489211,270922,40,0,0,0,0,8,4,2,1,0,1,65500
41.72287619999999,44.71746479999999,270921,53,0,0,0,0,5,5,2,1,0,1,61000
41.718999600464,44.7584276,270919,120,1,0,0,0,8,3,4,3,0,1,97000
41.7232365,44.7607894,270916,105,0,0,0,0,10,3,4,3,0,1,89000
